시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2019,서울특별시,구로구,일반용,"85,976,015","77,634,399","67,443,152","65,117,540","63,561,887","69,342,181","80,477,074","90,376,840","76,632,699","63,577,508","62,085,463","73,635,784",
2019,서울특별시,구로구,교육용,"4,055,158","3,707,140","3,135,212","2,907,004","2,035,093","2,289,468","2,762,794","2,435,991","2,940,398","2,175,963","2,669,254","4,211,232",
2019,서울특별시,구로구,산업용,"36,919,557","35,131,396","29,668,434","29,289,240","28,144,380","29,105,423","30,724,295","32,860,787","30,591,135","28,001,392","29,224,385","31,881,658",
2019,서울특별시,구로구,농사용,"26,884","25,985","19,055","17,888","17,296","18,467","19,203","23,507","23,410","17,791","16,985","20,881",
2019,서울특별시,구로구,가로등,"1,070,648","1,008,085","987,357","896,836","850,531","830,671","804,500","790,202","867,928","932,445","973,653","1,077,016",
2019,서울특별시,구로구,심 야,"775,274","780,359","595,724","592,473","1,087,078","1,691,842","2,165,097","2,352,497","1,118,474","397,240","323,069","573,140",
2019,서울특별시,구로구,합 계,"180,921,979","168,902,939","146,175,555","145,261,736","138,873,955","147,273,340","165,419,961","193,342,272","168,738,062","139,932,159","140,735,713","159,613,470",
2019,서울특별시,영등포구,주택용,"52,238,503","49,867,738","44,589,011","45,482,621","42,850,565","44,656,795","50,735,819","66,575,741","55,840,891","44,795,419","44,840,842","48,668,065",
2019,서울특별시,영등포구,일반용,"162,708,976","146,360,967","132,693,681","129,371,388","128,832,434","137,883,348","160,625,208","176,875,867","153,853,607","131,184,232","124,629,558","143,869,142",
2019,서울특별시,영등포구,교육용,"3,432,788","2,831,907","2,282,418","2,387,773","1,533,550","1,639,576","2,107,236","1,894,821","2,150,446","1,657,165","1,548,597","2,828,412",
2019,서울특별시,영등포구,산업용,"21,364,920","19,935,791","19,141,853","18,909,314","18,453,200","18,525,900","20,662,491","21,736,570","19,891,251","18,283,516","17,763,741","19,243,957",
2019,서울특별시,영등포구,농사용,"4,119","3,794","4,763","3,510","2,880","2,519","2,598","2,985","3,327","2,428","2,218","3,262",
2019,서울특별시,영등포구,가로등,"1,812,006","1,711,698","1,595,320","1,478,969","1,361,145","1,301,042","1,256,541","1,290,654","1,389,317","1,490,556","1,609,263","1,698,980",
2019,서울특별시,영등포구,심 야,"1,453,139","1,432,173","1,579,041","2,055,499","4,980,484","6,939,675","9,681,994","10,629,474","7,813,593","4,297,320","1,617,409","1,421,226",
2019,서울특별시,영등포구,합 계,"243,014,451","222,144,068","201,886,087","199,689,074","198,014,258","210,948,855","245,071,887","279,006,112","240,942,432","201,710,636","192,011,628","217,733,044",
2019,서울특별시,동작구,주택용,"46,048,613","45,148,564","38,940,944","41,217,790","38,420,000","40,201,217","44,112,578","59,893,525","51,161,731","40,704,267","40,864,646","42,634,827",
2019,서울특별시,동작구,일반용,"56,869,501","52,805,515","45,159,284","45,479,602","43,730,344","48,410,460","54,354,526","62,551,458","55,246,798","46,162,590","43,762,828","49,922,950",
2019,서울특별시,동작구,교육용,"9,069,984","7,893,995","6,758,116","6,275,881","5,193,371","6,105,222","6,740,952","7,040,238","6,918,379","5,569,407","5,839,764","8,703,247",
2019,서울특별시,동작구,산업용,"4,592,243","4,259,759","4,311,293","4,463,589","4,588,755","4,727,651","5,175,698","5,410,192","4,899,002","4,585,684","4,369,819","4,301,726",
2019,서울특별시,동작구,농사용,"3,417","3,080","2,685","2,804","2,058","1,912","2,118","2,835","8,967","19,931","20,760","23,030",
2019,서울특별시,동작구,가로등,"944,746","872,048","792,327","739,616","671,873","630,351","617,100","649,863","698,857","765,005","832,651","879,532",
2019,서울특별시,동작구,심 야,"1,028,622","993,621","667,022","572,003","490,571","602,381","894,394","1,170,209","691,590","423,970","446,738","675,566",
2019,서울특별시,동작구,합 계,"118,557,126","111,976,582","96,631,671","98,751,285","93,096,972","100,679,194","111,897,366","136,718,320","119,625,324","98,230,854","96,137,206","107,140,878",
2019,서울특별시,관악구,주택용,"58,287,492","57,097,633","48,981,332","52,000,351","47,913,651","50,101,970","54,471,173","73,881,532","63,508,623","50,303,430","50,536,814","53,082,265",
2019,서울특별시,관악구,일반용,"73,300,887","69,557,223","59,043,604","59,231,055","55,790,852","61,538,701","68,309,978","80,787,413","73,080,846","59,886,183","56,882,790","63,921,274",
2019,서울특별시,관악구,교육용,"22,883,923","21,037,458","17,428,666","16,895,669","13,493,496","14,527,018","15,980,908","18,364,140","18,286,085","14,763,065","14,645,709","19,864,435",
2019,서울특별시,관악구,산업용,"3,813,169","3,699,483","3,270,625","3,361,179","3,115,183","3,123,274","3,344,823","3,792,316","3,616,963","3,141,380","2,964,589","3,207,215",
2019,서울특별시,관악구,농사용,"15,620","15,999","12,802","13,039","8,417","6,121","6,340","9,368","7,494","6,628","8,439","12,794",
2019,서울특별시,관악구,가로등,"1,134,624","1,038,195","1,003,303","983,731","924,748","892,351","883,645","907,750","960,995","992,707","1,029,023","1,055,281",
2019,서울특별시,관악구,심 야,"1,296,729","1,272,429","947,195","842,868","553,124","449,715","418,279","461,925","447,447","430,783","587,464","946,232",
2019,서울특별시,관악구,합 계,"160,732,444","153,718,420","130,687,527","133,327,892","121,799,471","130,639,150","143,415,146","178,204,444","159,908,453","129,524,176","126,654,828","142,089,496",
2019,서울특별시,강남구,주택용,"75,909,686","72,296,922","65,944,271","67,078,521","64,142,860","68,048,095","80,679,278","105,231,939","84,273,046","68,472,245","67,961,977","72,478,295",
2019,서울특별시,강남구,일반용,"325,880,422","298,414,159","252,053,036","244,699,052","232,881,582","259,408,110","299,340,935","341,175,812","294,851,709","245,320,319","236,779,829","284,675,153",
2019,서울특별시,강남구,교육용,"5,624,243","5,240,541","4,115,345","4,124,811","2,719,381","3,202,845","3,992,348","3,292,177","4,218,234","2,929,222","3,380,192","5,644,775",
2019,서울특별시,강남구,산업용,"27,345,949","25,208,738","22,502,647","20,524,628","17,273,274","17,293,129","19,603,092","20,414,999","19,679,411","18,845,026","22,123,512","25,212,263",
2019,서울특별시,강남구,농사용,"137,294","133,491","107,304","81,909","57,849","53,663","55,530","65,561","59,408","48,775","48,754","81,672",
