시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2017,서울특별시,성동구,가죽. 신발,"1,011,734","1,114,320","931,665","753,192","536,874","624,917","821,629","883,830","880,518","626,940","688,105","1,052,399",
2017,서울특별시,성동구,목재. 나무,"142,063","148,476","130,451","118,752","88,436","87,637","88,456","87,391","84,738","68,277","96,544","121,768",
2017,서울특별시,성동구,펄프. 종이,"800,350","803,073","733,996","651,330","533,918","610,179","732,218","724,580","704,479","518,542","674,605","783,953",
2017,서울특별시,성동구,출판. 인쇄,"5,945,470","5,917,796","5,240,614","4,739,635","3,855,995","4,683,242","5,443,765","5,389,106","5,723,454","4,019,194","4,909,196","6,196,459",
2017,서울특별시,성동구,석유  정제,"267,876","241,859","275,266","322,429","288,254","323,867","281,839","301,346","232,672","277,795","286,154","248,077",
2017,서울특별시,성동구,화학  제품,"15,885,978","14,780,115","16,075,610","15,398,299","14,666,880","14,825,600","15,052,308","14,971,097","15,293,933","15,603,693","15,631,393","16,265,468",
2017,서울특별시,성동구,고무. 플라,"556,315","602,523","519,456","480,893","379,079","417,080","451,086","468,840","439,319","320,196","395,529","538,657",
2017,서울특별시,성동구,유      리,"219,386","214,574","192,049","191,752","174,015","199,890","203,949","212,009","216,525","172,519","192,544","241,759",
2017,서울특별시,성동구,시  멘  트,"580,937","564,933","558,448","491,420","457,444","483,120","459,314","449,138","493,929","408,670","542,503","600,998",
2017,서울특별시,성동구,1차   금속,"323,833","316,449","282,591","273,017","227,189","252,883","250,023","264,700","237,385","189,230","230,684","287,447",
2017,서울특별시,성동구,조립  금속,"1,745,659","1,788,482","1,538,238","1,413,257","1,136,607","1,243,213","1,351,173","1,374,888","1,322,938","974,729","1,258,092","1,675,887",
