,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1189,2017,충청남도,태안군,농사용,7993262,8096766,7644564,7852083,7607352,7988553,7939254,10290555,11063684,9198287,24592900,8266748
1190,2017,충청남도,태안군,가로등,679316,594552,594078,530606,491726,457662,501295,554167,593730,676446,722737,770929
1191,2017,충청남도,태안군,심 야,13701674,15199688,11972587,10076464,6529775,4002583,2684204,2382830,2426658,3864761,6951649,11924144
1192,2017,충청남도,태안군,합 계,80347322,86394156,70790050,57661076,60431760,48889159,51607718,52410834,53786859,60358070,68966629,69589995
1193,2017,전라북도,군산시,주택용,32836115,33634655,29133623,30736077,28330467,28331380,30684632,39886099,32552575,28230410,29906437,31672248
1194,2017,전라북도,군산시,일반용,56121588,58165173,49831628,47083030,41389797,43589323,51228580,59627024,51719953,43076576,44187890,53347257
1195,2017,전라북도,군산시,교육용,4386175,4632803,4893987,4063476,2959353,3148814,3620635,3623080,3487339,2766393,4010986,5742790
1196,2017,전라북도,군산시,산업용,591528982,573035335,647577141,608348048,627261068,590790115,566566049,593629479,613983809,594552389,564278890,611385914
1197,2017,전라북도,군산시,농사용,5099083,5083532,4130078,4317693,8318763,11350181,6601559,8523345,6747733,4646283,6729695,5243075
1198,2017,전라북도,군산시,가로등,2543662,2420952,2163757,2100631,1884230,1755782,1692592,1796871,1952710,2162891,2384209,2489764
1199,2017,전라북도,군산시,심 야,16828035,18671614,14684888,11833377,6392426,3738318,2463365,1985438,2259753,3538616,7973172,14662344
1200,2017,전라북도,군산시,합 계,709343640,695644064,752415102,708482332,716536104,682703913,662857412,709071336,712703872,678973558,659471279,724543392
1201,2017,전라북도,익산시,주택용,34493266,34701090,29764725,31398521,29043660,29169921,32325663,40636111,33117966,29047131,30976672,32868285
1202,2017,전라북도,익산시,일반용,47195156,48784151,41271005,39011000,33850215,35989444,42088694,49781329,42668880,34905707,36745932,45170976
1203,2017,전라북도,익산시,교육용,6842263,7095649,6542094,6166364,4284780,4661850,5601041,5996126,5429761,4280508,5254728,7728190
1204,2017,전라북도,익산시,산업용,155977388,144234786,151910621,148281544,148250940,151383740,156064674,151023086,147841665,132278684,141329609,145076923
1205,2017,전라북도,익산시,농사용,16336179,17828336,15255576,12534737,12500071,16361733,14176593,17730441,15012651,11806262,20645729,15035692
1206,2017,전라북도,익산시,가로등,1452373,1336355,1243049,1214089,1094007,1031110,1032094,1096236,1173416,1311232,1412888,1491030
1207,2017,전라북도,익산시,심 야,25720621,28178787,21978903,17592194,8970584,5057637,3330707,2631969,3071267,5049187,11945320,22519038
1208,2017,전라북도,익산시,합 계,288017246,282159154,267965973,256198449,237994257,243655435,254619466,268895298,248315606,218678711,248310878,269890134
1209,2017,전라북도,정읍시,주택용,12562448,12978639,11088395,11739281,10936854,10952493,11678531,14810374,12063844,11105927,11708686,12306386
1210,2017,전라북도,정읍시,일반용,17710058,18255691,15315313,14789439,12656627,13327444,15717462,18175040,15289546,13025408,14541415,17604128
1211,2017,전라북도,정읍시,교육용,1609892,1643566,1559989,1588903,936413,902001,1217836,1191322,1140475,842413,1149533,1923985
1212,2017,전라북도,정읍시,산업용,68856109,64934654,67362833,66134638,63288046,65310520,68931146,68261083,69526476,64711852,72156284,72583339
1213,2017,전라북도,정읍시,농사용,16724469,17492512,14999650,13743531,12522029,14800110,16716671,20673021,17922755,14532381,23077263,16793525
1214,2017,전라북도,정읍시,가로등,1767576,1569221,1538195,1482505,1403743,1380458,1439606,1514846,1575102,1697442,1720040,1770452
1215,2017,전라북도,정읍시,심 야,12163385,13659415,10474508,8465027,4539333,2714185,1831843,1600556,1658532,2789969,5979396,10315386
1216,2017,전라북도,정읍시,합 계,131393937,130533698,122338883,117943324,106283045,109387211,117533095,126226242,119176730,108705392,130332617,133297201
1217,2017,전라북도,남원시,주택용,9352907,9515272,8138962,8636249,7983854,7899779,8356111,10082345,8442106,7991765,8480505,8999181
1218,2017,전라북도,남원시,일반용,15483228,15919840,13503236,12970706,11080733,11316743,12728770,15542614,13145274,11294813,12582312,15532529
1219,2017,전라북도,남원시,교육용,1191258,1287651,1638204,1112967,799605,869392,953972,854519,847808,758552,1342422,1830868
1220,2017,전라북도,남원시,산업용,12117836,11582249,12131797,12706437,12403789,12881588,12890813,12664842,12283270,11032430,12791149,13171152
